hdi_rank;country;gii_value;gii_rank;mmr;abr;ssp;ssp_note;edu_female;edu_female_note;edu_male;edu_male_note;edu_diff;labour_female;labour_male;labour_diff;human-development
15;North Korea;0,101;17;16;2,2;15,7;;77;e;89,1;e;-12,06374;49,9;72;-22,1;veryhigh
17;Japan;0,138;25;5;5,4;10,8;;87;;85,8;;1,15812;48,1;70,4;-22,3;veryhigh
18;Liechtenstein;-1;-1;-1;-1;20;;-1;;-1;;0;-1;-1;0;veryhigh
19;Israel;0,101;17;7;7,8;22,5;;84,4;;87,3;;-2,88937;58,1;69,5;-11,4;veryhigh
20;France;0,08;12;8;5,7;25,1;;78;;83,2;;-5,19532;50,9;61,8;-10,9;veryhigh
21;Austria;0,056;5;4;4,1;28,7;;100;;100;;-1,00E-05;54,6;67,7;-13,1;veryhigh
21;Belgium;0,068;9;8;6,7;38,9;;77,5;;82,9;;-5,3775;46,9;59,4;-12,5;veryhigh
21;Luxembourg;0,154;29;20;8,3;21,7;;100;d;100;d;1,00E-05;50,7;64,9;-14,2;veryhigh
24;Finland;0,075;11;5;9,2;42,5;;100;;100;;0;56;64,3;-8,3;veryhigh
25;Slovenia;0,021;1;12;0,6;24,6;;95,8;;98;;-2,25037;52,3;63,5;-11,2;veryhigh
26;Italy;0,067;8;4;4;30,6;;71,2;;80,5;;-9,29196;39,4;59,4;-20;veryhigh
27;Spain;0,1;16;6;10,6;35,2;;66,8;;73,1;;-6,36096;52,6;66,5;-13,9;veryhigh
28;Czech Republic;0,087;13;5;4,9;20,6;;99,9;;99,7;;0,12714;50,1;67,8;-17,7;veryhigh
29;Greece;0,146;27;3;11,9;21;;59,5;;67;;-7,49237;44,2;62,6;-18,4;veryhigh
30;Brunei;-1;-1;24;23;-1;;66,6;e;61,2;e;5,43247863;52,9;75,6;-22,7;veryhigh
31;Qatar;0,524;113;7;9,5;0,1;f;66,7;;59;;7,63439;50,8;95,6;-44,8;veryhigh
32;Cyprus;0,136;23;10;5,5;10,7;;72,2;;79,6;;-7,4;55,8;70,8;-15;veryhigh
33;Estonia;0,154;29;2;16,8;20,8;;100;d;100;d;0;56;68,7;-12,7;veryhigh
34;Saudi Arabia;0,321;56;24;10,2;19,9;;60,5;;70,3;;-9,81607;18,2;75,5;-57,3;veryhigh
35;Lithuania;0,116;21;8;10,6;24,1;;89,1;;94,3;;-5,22446;55,8;66,3;-10,5;veryhigh
35;Poland;0,139;26;5;12,2;21,8;;79,4;;85,5;;-6,09705;48,9;64,8;-15,9;veryhigh
37;Andorra;-1;-1;-1;-1;50;;49,5;;49,3;;0,14503;-1;-1;0;veryhigh
37;Slovakia;0,164;32;6;15,9;18,7;;99,1;;99,5;;-0,43587;51;68,7;-17,7;veryhigh
39;Malta;0,22;41;8;18,2;14,3;;68,6;;78,2;;-9,66033;38;66,5;-28,5;veryhigh
40;United Arab Emirates;0,244;43;12;27,6;17,5;;73,1;;61,3;;11,84529262;46,6;91;-44,4;veryhigh
41;Chile;0,355;68;25;55,3;13,9;;73,3;;76,4;;-3,09651;49;74,6;-25,6;veryhigh
41;Portugal;0,116;21;8;12,6;28,7;;47,7;;48,2;;-0,52004;55,4;67,2;-11,8;veryhigh
43;Hungary;0,247;45;21;12,1;8,8;;97,9;d;98,7;d;-0,82118;44,7;59,9;-15,2;veryhigh
44;Bahrain;0,253;46;20;13,8;18,8;;74,4;e;80,4;e;-5,97879859;39,4;87,2;-47,8;veryhigh
44;Cuba;0,35;66;73;43,1;48,9;;73,9;e;80,4;e;-6,46645898;43,3;70,1;-26,8;veryhigh
46;Kuwait;0,288;50;14;14,5;6,2;;55,6;;56,3;;-0,64421;43,4;82,8;-39,4;veryhigh
